Glyph;Weight;LKG;RKG;LSB;RSB;Width
A;Regular;@A;@A;32.0;32.0;813.0
Aacute;Regular;@A;@A;32.0;32.0;813.0
Abreve;Regular;@A;@A;32.0;32.0;813.0
Abreveacute;Regular;@A;@A;32.0;32.0;813.0
Abrevedotbelow;Regular;@A;@A;32.0;32.0;813.0
Abrevegrave;Regular;@A;@A;32.0;32.0;813.0
Abrevehookabove;Regular;@A;@A;32.0;32.0;813.0
Abrevetilde;Regular;@A;@A;32.0;32.0;813.0
Acircumflex;Regular;@A;@A;32.0;32.0;813.0
Acircumflexacute;Regular;@A;@A;32.0;32.0;813.0
Acircumflexdotbelow;Regular;@A;@A;32.0;32.0;813.0
Acircumflexgrave;Regular;@A;@A;32.0;32.0;813.0
Acircumflexhookabove;Regular;@A;@A;32.0;32.0;813.0
Acircumflextilde;Regular;@A;@A;32.0;32.0;813.0
Adblgrave;Regular;@A;@A;32.0;32.0;813.0
Adieresis;Regular;@A;@A;32.0;32.0;813.0
Adotbelow;Regular;@A;@A;32.0;32.0;813.0
Agrave;Regular;@A;@A;32.0;32.0;813.0
Ahookabove;Regular;@A;@A;32.0;32.0;813.0
Ainvertedbreve;Regular;@A;@A;32.0;32.0;813.0
Amacron;Regular;@A;@A;21.0;21.0;791.0
Aogonek;Regular;@A;@A;32.0;30.0;811.0
Aring;Regular;@A;@A;32.0;32.0;813.0
Aringacute;Regular;@A;@A;32.0;32.0;813.0
Atilde;Regular;@A;@A;32.0;32.0;813.0
AE;Regular;@A;@E;26.0;26.0;693.0
AEacute;Regular;@A;@E;26.0;26.0;693.0
B;Regular;@H;@B;79.0;41.0;403.0
C;Regular;@O;@C;47.0;63.0;703.0
Cacute;Regular;@O;@C;47.0;63.0;703.0
Ccaron;Regular;@O;@C;47.0;63.0;703.0
Ccedilla;Regular;@O;@C;47.0;63.0;703.0
Ccircumflex;Regular;@O;@C;47.0;63.0;703.0
Cdotaccent;Regular;@O;@C;47.0;63.0;703.0
D;Regular;@H;@O;79.0;47.0;532.0
DZcaron;Regular;@H;@Z;79.0;23.0;961.0
Eth;Regular;@H;@O;16.0;47.0;529.0
Dcaron;Regular;@H;@O;79.0;47.0;532.0
Dcroat;Regular;@H;@O;16.0;47.0;529.0
Dzcaron;Regular;@H;@z;79.0;26.0;897.0
E;Regular;@H;@E;79.0;26.0;374.0
Eacute;Regular;@H;@E;79.0;-2.0;374.0
Ebreve;Regular;@H;@E;79.0;21.0;374.0
Ecaron;Regular;@H;@E;79.0;-3.0;374.0
